,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,0.9999999999999999,1.0000767732166342,1.0000537202372604,1.0000973921709928,1.0000964087216595,0.9994372586473192,0.9991067956228422,0.9987877178939739,0.9971364966391425,0.9969611404649521,0.9955607787431396,0.9951317865736217,0.9947729561114621,0.9939477839098629,0.996702684593725,0.9976490256614603
2023-04-28,0,1.0,0.9999983367730286,1.000036017160213,1.0000606473813551,0.9994810721876078,0.9991721001986952,0.9988717610391454,0.9972923996134444,0.9971234882835222,0.9957686358844733,0.9953519892414137,0.9950037958515904,0.9942017094308523,0.9968719694434587,0.9977722678417403
2023-05-02,0,0,1.0,1.0000253324223465,1.0001028129136034,0.9996873566816042,0.99942271151586,0.9991610186579202,0.9977298299314924,0.9975742105137066,0.9963132242222723,0.9959225443657463,0.9955965870912525,0.9948421791000902,0.9973379873799166,0.9981432845419135
2023-05-06,0,0,0,1.0,1.0000085691260612,0.9993792750499946,0.9990568685617441,0.9987448297347842,0.9971206913702642,0.9969477586892468,0.9955644929657579,0.9951388059248062,0.9947831935237873,0.9939665467883397,0.9966892765197571,0.9976183636196583
2023-05-10,0,0,0,0,1.0,0.9995970368295042,0.9993357697750194,0.9990770346146142,0.9976572775383226,0.9975026811947919,0.9962489165178193,0.9958592488776649,0.9955344273955419,0.9947835857049911,0.9972656848147807,0.9980637305078184
2023-05-14,0,0,0,0,0,1.0,0.9999942458073379,0.9999584097546264,0.9993946034201237,0.9993169120913518,0.9986068317567401,0.9983701696973823,0.9981757438501739,0.9977019018401418,0.9991732976546683,0.9994220446761986
2023-05-18,0,0,0,0,0,0,1.0,1.0000034392810828,0.9995907124209542,0.9995266106539968,0.9989126813203042,0.9987026540573234,0.9985310550088201,0.9981062414504784,0.9993986157280719,0.9995503781689138
2023-05-22,0,0,0,0,0,0,0,1.0,0.9997072469072602,0.9996539404726994,0.9991164113097203,0.9989274585383308,0.9987739482937047,0.9983881025278433,0.9995381677403472,0.9996129090386796
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.0000096369316298,0.9999179506493271,0.999854666588353,0.9998083376372227,0.9996505433463826,0.999970262914537,0.9995960884691901
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,0.9999021269506854,0.9998365939003895,0.9997884818986015,0.9996274609791064,0.9999585728466398,0.9995906298807888
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0,1.0000048247625004,1.000016799848618,0.9999839696593938,0.9998486969698702,0.9992293308097568
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,1.0,1.000020819251081,1.0000073727485406,0.9998013001752307,0.9991438836278322
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000000011432253,0.999744813203403,0.9990610197132948
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.999551653069411,0.9987639747339985
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.999844650006111
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
