,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,1.0,1.0013852864330555,1.0031995972973922,1.0027286094983434,1.0049361748397299,1.0111906906744068,1.0127429842848097,1.0140705845257725,1.0187786005804833,1.0191775130011391,1.0218505482078564,1.022576479463988,1.0232025213932612,1.0244694083318393,1.019624766940695,1.0164733511775024
2023-04-28,0,1.0,1.0018118094084836,1.0013414662975542,1.003545969287571,1.0097918555089413,1.0113420013143173,1.0126677691659596,1.0173693108275426,1.0177676720971471,1.0204370035586967,1.021161421893772,1.0217862995722249,1.0230513702930566,1.0182133105557518,1.0150662674354085
2023-05-02,0,0,1.0,0.9995305003673016,1.0017310075872183,1.0079656215351507,1.0095129634115554,1.0108363379092846,1.0155294168269058,1.0159270583658107,1.018591556027264,1.0193141337035514,1.0199375702652729,1.0212002866779188,1.0163708513327678,1.0132295133997375
2023-05-06,0,0,0,0.9999999999999999,1.0022015321016071,1.0084390979724995,1.0099871662427924,1.0113111666581847,1.016006489746879,1.016404318779583,1.0190700618701256,1.019792454300566,1.020415876140172,1.0216791200325057,1.0168472921590643,1.0137044921600138
2023-05-10,0,0,0,0,1.0,1.0062238876010623,1.0077685548202062,1.0090896511802154,1.0137747003800701,1.0141716562299077,1.016831537295756,1.0175518112049482,1.01817355191782,1.0194339543395188,1.0146126147811856,1.0114767321941127
2023-05-14,0,0,0,0,0,1.0000000000000002,1.0015351123798804,1.0028480417478722,1.0075041538148488,1.0078986550822329,1.010542077246973,1.0112573441147599,1.011874915601127,1.0131274528755783,1.0083358047826358,1.0052193330845438
2023-05-18,0,0,0,0,0,0,1.0000000000000002,1.0013109214901865,1.005959938786072,1.0063538361261495,1.0089932000324102,1.0097068160470781,1.0103231158711314,1.0115736639093693,1.006789229228333,1.0036775486294531
2023-05-22,0,0,0,0,0,0,0,0.9999999999999999,1.0046429713145961,1.0050363536842435,1.0076722557952793,1.0083844011581389,1.008999579678158,1.0102484233594815,1.0054701257613532,1.0023625328346524
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.00039156501441,1.003015279193516,1.003723626851978,1.0043356653763087,1.0055786740704418,1.000822339961228,0.9977291220085219
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,1.0026226812193015,1.003330250822698,1.0039417561986985,1.0051842156407496,1.0004296250888265,0.9973376309016925
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.0007052077205052,1.0013148139355452,1.0025539593310344,0.9978116853700123,0.9947277925762538
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,1.00060886625574,1.001847072698911,0.9971080131193624,0.9940263057286822
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.001237406377192,0.9965011384193887,0.9934213142238426
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,0.995269501172953,0.9921934904288813
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,0.9969093740939083
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
