,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0000714311631587,1.0000500739742335,1.0000907350908452,1.0000900166935274,0.9994709502942367,0.9991587050284857,0.9988563087280541,0.9972814769548127,0.9971133618406584,0.9957661397880073,0.9953516916433384,0.995004213175194,0.9942035783410615,0.9968656653787396,0.997774250813718,0.9974489730216358,0.9952109662223405,0.9953686759559038,0.9927760895223,0.9915973264329186,0.9942395676840726,0.9924671074614414
2023-04-28,0,1.0000000000000002,0.9999984484375255,1.000033582026973,1.000056670085209,0.9995118029886378,0.9992196913832331,0.9989349028458822,0.9974279964113151,0.9972660111951922,0.9959622536461242,0.9955596652264525,0.9952224373316553,0.9944441080588684,0.9970249021670102,0.997889638671886,0.9975875414832421,0.9954457723338365,0.9956001475539707,0.9930797171660969,0.991928906288356,0.9945059838549218,0.9927819111589989
2023-05-02,0,0,0.9999999999999999,1.0000236586098405,1.000096223597082,0.9997054506118488,0.9994551423752539,0.9992069051693744,0.997840936590035,0.9976916701022832,0.9964780891774823,0.9961005874978645,0.9957849080346892,0.995052902743537,0.9974651783773473,0.9982388848699155,0.9979849312937217,0.9960428637037694,0.9961903342629504,0.9938196797655743,0.9927267859043949,0.9951687487848463,0.9935451078107949
2023-05-06,0,0,0,1.0,1.0000080032890712,0.9994162872638084,0.9991114569013941,0.9988155587288128,0.9972658798013865,0.9971000293849822,0.995768848778741,0.9953575020263958,0.9950130602107501,0.9942205124840203,0.9968522553784038,0.9977447067360419,0.9974279368402282,0.9952255164064556,0.9953819716861231,0.9928157484149571,0.9916474338247756,0.9942655451453684,0.9925107758902287
2023-05-10,0,0,0,0,1.0000000000000002,0.9996203168824261,0.9993730191547366,0.9991274256173776,0.9977717332270906,0.9976233914593367,0.9964163619101897,0.9960397375532133,0.9957250705490012,0.9949963280459498,0.9973961004574066,0.9981632514961502,0.9979127417672344,0.9959851977570087,0.996132146449172,0.9937721914538503,0.9926836182566581,0.9951156761125712,0.9934992201229719
2023-05-14,0,0,0,0,0,1.0,0.9999945248081683,0.9999603730233824,0.9994201761558317,0.9993454595529637,0.9986606018418072,0.9984315931045838,0.9982430803538591,0.997782936556788,0.9992073895358791,0.9994477287454095,0.9994757415135672,0.9987038094255909,0.9988107722801808,0.997318894304746,0.9965657238634289,0.9982149989409923,0.9971806368893631
2023-05-18,0,0,0,0,0,0,1.0,1.00000328144659,0.9996075202556434,0.9995458440226118,0.9989534794244445,0.9987501868454112,0.9985837678290452,0.9981711606453763,0.9994227258739696,0.9995698032539555,0.999647103243976,0.9990798295154084,0.9991796971168844,0.9978415205178701,0.9971478307827203,0.9986583727997053,0.9977270828794212
2023-05-22,0,0,0,0,0,0,0,1.0,0.9997189953778425,0.9996676803965169,0.9991488101839864,0.9989658600410979,0.9988169431146527,0.9984421011367611,0.9995562614941793,0.9996292517913564,0.9997456989319117,0.9993410262390051,0.9994352525154756,0.9982191979562556,0.9975727908827198,0.9989730706712804,0.9981236777449511
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.0000093065987352,0.9999205480231023,0.9998591589957061,0.999814140251832,0.9996606502471639,0.9999712687393458,0.9996108108470535,0.9999562523607739,1.000502661062933,1.000563891433941,1.0000632341936866,0.9996934401676356,1.0004482724244614,1.0000786302350084
2023-05-30,0,0,0,0,0,0,0,0,0,1.0000000000000002,0.999905232075364,0.9998416560915996,0.9997948997705797,0.9996382592216478,0.9999599771652631,0.9996055841250028,0.9999478167882795,1.00048097974759,1.0005426632331091,1.0000319006753886,0.9996582855464526,1.0004221189051212,1.0000457038347559
