,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0071500274440424,1.0152048469520505,1.0208391064519255,1.029284097887465,1.0412082402741534,1.0485580797339984,1.0552938180887315,1.0645027543253291,1.0696107547424134,1.07760488437983,1.0980940306247182,1.113251185251469,1.1224001404101696,1.1256573941164993,1.1289216277240866,1.1440093492463366,1.1592152365887838,1.166978013235567,1.1834968606045304,1.1883806936950199,1.1899443253841786,1.2023305985600543
2023-04-28,,1.0,1.008055033708723,1.0136691973628307,1.022067434380448,1.0339939419581563,1.0413174807903902,1.0480402653223138,1.0573010696946648,1.062389132420629,1.0703286925464846,1.0894065606589727,1.1037279869294108,1.1126770314821905,1.1156300169370914,1.1189604394377475,1.1340217598916407,1.149267672270303,1.1569977814883707,1.1731249303479276,1.1780918670097602,1.1796490035523985,1.1917778029109312
2023-05-02,,,1.0,1.0055973381408208,1.0139408856716527,1.0258582227128197,1.0331454598339687,1.039848004751214,1.0491560990606628,1.0542166187164956,1.0620899909840733,1.0796225580959222,1.0930264819973128,1.1017517928377674,1.1043732111070546,1.107777501192064,1.1228067034174678,1.1380896352942256,1.1457805978281488,1.1614734906901991,1.1665266173086353,1.168075489227092,1.1799183697591968
2023-05-06,,,,1.0,1.0082991593853727,1.0202284199463256,1.0274952661056074,1.0341930638503012,1.043567350839625,1.0486123629084032,1.0564391394877637,1.0725068403379736,1.0850490465921703,1.0935778776459943,1.095884613918619,1.0993716440605066,1.1144066284573981,1.1297614248703332,1.1374325300501211,1.1527393980698422,1.1578886641594746,1.159433665989169,1.171026033789264
2023-05-10,,,,,1.0,1.01189832835785,1.01912590993567,1.02580159274755,1.0352147507038063,1.0402290119350461,1.0479881682477503,1.0625532481327662,1.0742062658219529,1.082519807416363,1.0845101027689614,1.0880795389176434,1.1030947657673669,1.1184849085059898,1.1261168164081325,1.1409995794763248,1.1462303388209403,1.147766613547555,1.15907924065679
2023-05-14,,,,,,1.0,1.007183232476129,1.013822160409463,1.0232426887131778,1.028215205688407,1.035888729762404,1.0490286528079356,1.0598312942161696,1.0679233942548532,1.0696194801980203,1.0732503903799246,1.0881892492197516,1.1035529106543462,1.11112014606688,1.1255610820865722,1.1308500999560887,1.1323737912370533,1.1433891303426955
2023-05-18,,,,,,,1.0,1.0066315335644669,1.0161024928474929,1.0210602410224867,1.028685520701642,1.040471427285593,1.0504778664834493,1.0583861126777026,1.0597976523469856,1.0634955473530936,1.078403899698025,1.0938058403267015,1.1013438454886024,1.1154138544002985,1.1207888380946118,1.1223103495850453,1.133082994478784
2023-05-22,,,,,,,,1.0,1.009517730511091,1.0144639107102598,1.0220468390754873,1.0325630750077917,1.041825469111825,1.0495649720767488,1.0507100018223126,1.054471702199081,1.0693533212242805,1.0847943713358204,1.092306248757927,1.106031543478473,1.111489935559047,1.1130097555314462,1.1235569716739584
2023-05-26,,,,,,,,,1.0,1.0049252284592491,1.0124473786680366,1.0217636824502172,1.030315176154421,1.037876994375698,1.0387735067367005,1.0425814624013596,1.057388401265829,1.0728139842400317,1.080276225151188,1.0936400728729547,1.0991583545700723,1.1006711157061835,1.1109762886348782
2023-05-30,,,,,,,,,,1.0,1.0074926034894838,1.0157276390502228,1.023647123098093,1.0310709416677342,1.0317331948863933,1.035578088070723,1.0503396146824326,1.065805529574981,1.0732518433341434,1.0863355822834093,1.0919390067433732,1.0934549802780476,1.1035780634419847
