,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.006332562750289,1.0131764643571972,1.019886653280276,1.0266367951847657,1.0318969897346268,1.0375418097501643,1.0427420571914445,1.0457384725156582,1.050194272655892,1.0541379042706536,1.072488377142454,1.0862103685117825,1.0933137889611593,1.1039986116232379,1.1121075201575112,1.126356644897994,1.1332700189716418,1.1414687931992857,1.1509288023894857,1.1534515197331114,1.1610401615448236,1.168702500968186
2023-04-28,,1.0,1.006866949774156,1.013553506538362,1.020288690029984,1.0256378613965265,1.0312855625911226,1.0364985381960825,1.0396218541271807,1.044072320703244,1.0480187796049618,1.0651029930368983,1.078080603018862,1.0850311083739141,1.0953557862204202,1.1034775936092078,1.1177293935824797,1.1247884608106669,1.132961412069436,1.142153273926168,1.1447849128164014,1.152303897060538,1.1597927263954113
2023-05-02,,,1.0,1.0066557301377301,1.0133914646549766,1.018901218740606,1.024565169243298,1.0298046379882297,1.0331268979738835,1.0375745147048607,1.0415629738734908,1.0572800655144947,1.0694545444687606,1.0762561807543813,1.0861083982511743,1.0941958389960955,1.1084608798509095,1.1157657431554782,1.1239048095553636,1.1328751258583143,1.1356485659595765,1.1430269150763672,1.150374044088107
2023-05-06,,,,1.0,1.0066416829514644,1.011962746451238,1.0175550433401803,1.022742569591785,1.0259407340649762,1.030352919631083,1.0341765064535278,1.0484650997941125,1.0597928905176894,1.0663489860798008,1.0761257608143173,1.08443056904852,1.0986706879311239,1.1057935381459603,1.1139240111656856,1.122323437499446,1.1251149993455651,1.1326656150462697,1.1396374394601254
2023-05-10,,,,,1.0,1.0055213375028549,1.0111433724128804,1.0163704510711038,1.01981572434862,1.0242288055950748,1.0281291505517272,1.0410984270085013,1.0516565368774817,1.0580893837636753,1.067342108544329,1.0755810556011576,1.0898571826514676,1.0972996489537201,1.105394329079292,1.113642009451441,1.1165934039855403,1.1239520523724935,1.1308287498287084
2023-05-14,,,,,,1.0,1.005836052362955,1.0112601539806816,1.0155709200921261,1.0200526381853185,1.0244356991666077,1.0363452056021396,1.0463061757281502,1.0528278719522648,1.0608285075395674,1.0685128077846333,1.0828970078293965,1.0914729164854757,1.0994844472270393,1.1082905377565124,1.1116339463029097,1.1182005961045967,1.1254561268943688
2023-05-18,,,,,,,1.0,1.0054603025789064,1.0099746912477041,1.014463068292673,1.0189026256938336,1.029574873305378,1.0388159629755498,1.045217679407488,1.052774192830259,1.0604147161143018,1.0748065398328688,1.0836296345655316,1.0916117214369212,1.1002416918180526,1.103728671122138,1.1101551092881192,1.1172996665001416
2023-05-22,,,,,,,,1.0,1.0046834558523883,1.0091775073982778,1.013658436400089,1.0231576614289377,1.031717683893401,1.0380021569938875,1.0451659079596523,1.0527821022635748,1.0671783036899618,1.076207308067795,1.0841635044068954,1.0926052213693245,1.0962214028955755,1.1025363909520347,1.10956135741338
2023-05-26,,,,,,,,,1.0,1.0045557529781717,1.0094328153905394,1.017955485653805,1.0259629370663135,1.0323062423654044,1.038412201591536,1.0455615905134954,1.0600126257985798,1.0699658636114142,1.0778440034217829,1.086714753968287,1.0906627378069755,1.0963217692974794,1.1036373861053965
2023-05-30,,,,,,,,,,1.0,1.004845477437753,1.0123257170718705,1.0197248306427764,1.0259349841995997,1.0318265506451287,1.0390203835056828,1.0534322530290074,1.0634180698295395,1.0712845040859775,1.0798797987008992,1.0839085766841983,1.0895804122476858,1.0967174101512072
