,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.002506854503346,1.0053698891866258,1.0081054402850114,1.0107439512465124,1.0118697287060263,1.0132444064420976,1.0143595125661633,1.01388816906134,1.014544592558211,1.0143875649854495,1.0183145871807788,1.0219666576194129,1.0239081955440248,1.0292632464271352,1.0346206570626304,1.0428600819748037,1.0451334444038531,1.0481113603793193,1.0494169180624482,1.049854536866813,1.0539898074788003,1.0553826831285777
2023-04-28,,1.0,1.0028752057802375,1.0055945308075993,1.008238476178122,1.0094339350818196,1.0108149991589275,1.0119375101762773,1.0115403291579173,1.0121889142880107,1.0120524302582465,1.0156053096081477,1.0190355483898572,1.0209378055547416,1.0261230544293214,1.0314561626800396,1.039720397892479,1.0421007172725758,1.045061601622479,1.0463311322805993,1.0468108219733887,1.0508708318124431,1.052238410504528
2023-05-02,,,1.0,1.0026928156970307,1.0053551226686963,1.0066873559780443,1.0080846417523242,1.0092245251538918,1.0089680047854808,1.0096078212017026,1.0095283520856304,1.0126366777979858,1.0158027664330271,1.0176707856890264,1.022578461741175,1.0278358257938602,1.0361312932685822,1.0387127852551163,1.0416444737189157,1.042928686838729,1.0434783008464033,1.047388809034285,1.0487646021917265
2023-05-06,,,,1.0,1.0026012631231755,1.0037370898905011,1.0050788375857462,1.006173278288286,1.0057486213619398,1.0063615657605938,1.0061474489630522,1.008786435309327,1.0116724065143197,1.013426801458562,1.0184702820131009,1.023914841995282,1.0322257478597037,1.034599011614471,1.0375464411594935,1.0385222266615828,1.039027365203928,1.0431145007509646,1.044285690471097
2023-05-10,,,,,1.0,1.0013098559796394,1.0026790124929776,1.003801603412129,1.0035633931097325,1.004169214905741,1.0040447922276392,1.006287327072303,1.0089418862119013,1.0106858844863162,1.0153990350583009,1.0207345114468092,1.0290963353801423,1.0317417006994392,1.0346552536127025,1.0357131929253316,1.036304534739166,1.0401888977245806,1.0414128078615645
2023-05-14,,,,,,1.0,1.0015534995268425,1.0028348086905319,1.003374468647489,1.0040160975580812,1.0043622941928065,1.0064508385768114,1.0090260212172897,1.0109480204651535,1.0145845744701876,1.019301187005452,1.0277489798556732,1.0314469208364123,1.0342461924994464,1.0360635000834386,1.0369540105965094,1.0400127333773377,1.041735410452209
2023-05-18,,,,,,,1.0,1.0013090292620201,1.001990963562972,1.0026341107155803,1.0030541861778464,1.0048984577933369,1.0073343996405597,1.0092608647543622,1.0126637809711252,1.0172931546922108,1.0257697461606377,1.0296685305459468,1.0324450319583793,1.0343418881138031,1.03529962032251,1.0382097233315581,1.0399840249432413
2023-05-22,,,,,,,,1.0,1.0007925384451386,1.0014374775999766,1.0019169621179456,1.003554935716451,1.0058755677579483,1.0078069156680804,1.0110226454122937,1.0155863576816075,1.0240895936114687,1.0281507097370628,1.0309093020648064,1.0328680982825371,1.033881628136319,1.0366731310403055,1.0384872717811053
2023-05-26,,,,,,,,,1.0,1.0006838153887314,1.001556793753371,1.0031027727276316,1.0053803674356288,1.0074656069791248,1.0098003436714185,1.013842602244746,1.0223926792294022,1.0273117227033568,1.029974071003013,1.032568737623054,1.033831014018306,1.0359422305814345,1.0381734612273292
2023-05-30,,,,,,,,,,1.0,1.000862912594315,1.0022886319618602,1.0044994056670964,1.0065717506281604,1.0088907430514111,1.012941809432175,1.0214803521569027,1.026396360090652,1.0290603593469714,1.031623210058012,1.0328998389745423,1.035021046569924,1.037230120257959
2023-06-03,,,,,,,,,,,1.0,1.0013076928421365,1.0034556817876747,1.0056065031897052,1.0074116642668134,1.0111605848681848,1.0196990734243703,1.025097685129154,1.0277069250892399,1.0306149707233487,1.0320432544516944,1.0337823964335693,1.0362167098017454
2023-06-07,,,,,,,,,,,,1.0,1.002035048787371,1.0041749511920397,1.0058644465144266,1.0095623612290672,1.0180628433588739,1.0235410516534407,1.026143701571237,1.0290680108789743,1.0305428792847187,1.0322274837494663,1.034670326741458
2023-06-11,,,,,,,,,,,,,1.0,1.0021098072045744,1.003699502817555,1.0073680047797757,1.0158165031441426,1.021354485288529,1.02395421067926,1.0268551185805839,1.0283756027574713,1.0300246304251581,1.0324490899220105
2023-06-15,,,,,,,,,,,,,,1.0,1.0013567740273686,1.0048902778220892,1.013263229002599,1.0190103311906833,1.021595696455836,1.0245942150046679,1.026205454217522,1.027702139039876,1.0301852947024985
2023-06-19,,,,,,,,,,,,,,,1.0,1.0042345773649803,1.0124350233980066,1.0170274903905354,1.019776809426015,1.021788351488011,1.0231150102178639,1.02558383849652,1.0274067287197666
