,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0015684338140587,1.0021277446000116,1.0035036221284226,1.0053774111516098,1.007182745944551,1.0087042762899139,1.009287937175619,1.0103398192542155,1.0108840196151883,1.0107980739055504,1.0123846729355328,1.0137538482799058,1.0150503940386328,1.0160638689935668,1.0172221160724173,1.0179597936757652,1.0189418835915935,1.0200738052277412,1.0209073755702465,1.021087760990816,1.0224557510425996,1.0235522539366233
2023-04-28,,1.0,1.000558434917745,1.0019321578526537,1.0038030125640505,1.0056055202429977,1.0071246679057977,1.007707414791582,1.00875764964632,1.009300997801673,1.0092151866810983,1.0107993011324097,1.0121663323787513,1.0134608477757567,1.0144727356515302,1.0156291689413053,1.0163656913579902,1.0173462433429288,1.0184763924150568,1.0193086574050096,1.0194887603460365,1.0208546081559302,1.021949393950894
2023-05-02,,,1.0,1.0013729562282103,1.0032427667721098,1.0050442684296272,1.0065625682208081,1.0071449898620113,1.0081946385562668,1.0087376834563857,1.0086519202289919,1.0102351505492098,1.0116014188236397,1.0128952117215146,1.0139065348391463,1.0150623226966242,1.01579843404303,1.0167784387591154,1.0179079570687792,1.0187397575522974,1.0189197599736868,1.0202848454721725,1.0213790202417388
2023-05-06,,,,1.0,1.0018672468956444,1.0036662785614314,1.0051824966515424,1.0057641197496905,1.006812329298118,1.0073546296435998,1.0072689840039206,1.0088500435985208,1.0102144386183107,1.0115064576306356,1.0125163941496333,1.013670597336657,1.014405699420079,1.0153843604773707,1.0165123301340688,1.0173429901577342,1.0175227457825191,1.0188859596480375,1.0199786342232404
2023-05-10,,,,,1.0,1.001795678690327,1.003309070903526,1.0038896099918635,1.004935865922153,1.0054771555462647,1.0053916695300837,1.00696978239833,1.008331634504003,1.00962124549421,1.0106292997270707,1.0117813517485337,1.0125150837731105,1.013491920834432,1.014617788218752,1.0154469000858573,1.0156263206880793,1.0169869938408775,1.0180776319255025
2023-05-14,,,,,,1.0,1.0015106795181803,1.0020901780134188,1.003134558571795,1.0036748779559028,1.003589545169987,1.0051648293340285,1.0065242403742654,1.0078115397883465,1.0088177871243087,1.009967774138596,1.0107001909778621,1.0116752770978166,1.012799126409876,1.0136267521271172,1.0138058511250854,1.015164085325673,1.016252768485148
2023-05-18,,,,,,,1.0,1.00057862437924,1.0016214295931383,1.0021609339590505,1.002075729889178,1.0036486378933136,1.0050059983968391,1.0062913560474438,1.0072960855591115,1.0084443379320573,1.0091756499931712,1.0101492652924347,1.0112714193892836,1.012097796715224,1.012276625560119,1.013632810999141,1.0147198519880587
2023-05-22,,,,,,,,1.0,1.0010422021703145,1.0015813945463727,1.0014962397491418,1.0030682381566747,1.0044248137125114,1.00570942805394,1.006713576540813,1.007861164891162,1.0085920540419946,1.009565106309494,1.0106866114761117,1.0115125109165015,1.0116912363465054,1.0130466375173663,1.0141330498816041
2023-05-26,,,,,,,,,1.0,1.0005386310136468,1.0004535648725328,1.0020239266456177,1.0033790898474242,1.0046623667548749,1.0056654698055714,1.0068118633820469,1.007541991591675,1.0085140307978038,1.0096343683461975,1.0104594079285438,1.0106379472844433,1.0119919373239465,1.0130772186056771
2023-05-30,,,,,,,,,,1.0,0.9999149796534814,1.001484496036366,1.0028389296981963,1.0041215157650139,1.0051240788041642,1.006269855229922,1.0069995903815658,1.0079711062990913,1.0090908407237966,1.0099154361534708,1.0100938793943068,1.011447140525395,1.012531837555665
