,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0043910072397944,1.007751986475586,1.011349944046254,1.0146913153731023,1.0186461355998784,1.0217165405190904,1.0246483383858347,1.0273456315548215,1.0309388127991421,1.0337316406664745,1.035454815020297,1.043900200472528,1.0461238969185307,1.049736855503855,1.0560349143024577,1.0580472890753148,1.0590563572405163,1.0633377615620165,1.0699244541252668,1.0719761504574974,1.0745230912982793,1.074371090692478
2023-04-28,,1.0,1.0033516200628612,1.0069526143306937,1.0103347119247987,1.01430913901075,1.0174067078070053,1.0203262334792769,1.023026078970245,1.0265347429040887,1.029342817056395,1.031139817330704,1.0388489555508211,1.0410619772404988,1.0444673132615439,1.0503193677029579,1.0523303419226684,1.0534680981388436,1.0574888166504437,1.063567517158663,1.0655454954748573,1.0681305439600008,1.0681731668258465
2023-05-02,,,1.0,1.0035953671144136,1.0069898811567715,1.0109762359335894,1.014082136756965,1.016990386454812,1.0196836303956285,1.0231143552539166,1.0259572813917224,1.0277968496631544,1.0348531104667378,1.0370488316870279,1.040270810694952,1.045737095837409,1.0477504095244492,1.0490104851966862,1.0528002497115703,1.058437264026844,1.0603633146164182,1.0629841657848305,1.0631828739596028
2023-05-06,,,,1.0,1.0034297404367454,1.0074325881173232,1.0105619910580346,1.01346030252583,1.0161564084764312,1.0195185664268194,1.0223721249923572,1.0242738029489427,1.0307304097007572,1.032918138304527,1.0359709725612358,1.0410731939813418,1.043085092841817,1.0444493339684737,1.0480267812604769,1.0532493103310179,1.055114193982559,1.0577659642642978,1.0581246233196198
2023-05-10,,,,,1.0,1.0040293422092461,1.0072056764686583,1.0100964113879385,1.0128092091532757,1.0161093712774978,1.0189459616347718,1.020941982299286,1.0268071211314542,1.028999142863785,1.0318849549155662,1.0366155502499392,1.0386224618108217,1.0400799407282049,1.0434485590785596,1.0482506772614204,1.0500375709877967,1.052719118227409,1.0532595740689945
2023-05-14,,,,,,1.0,1.0031982740759235,1.0060781143958153,1.0087929229299912,1.012026430295695,1.0148700093792682,1.0169258542915522,1.0222174493931782,1.024401287220429,1.0271245805020128,1.0315055518061635,1.0335097567492109,1.0350648360822146,1.0382296568644538,1.0426342634381942,1.0443609642423284,1.0470702901001407,1.0477638901888717
2023-05-18,,,,,,,1.0,1.002871697034795,1.0055957563529667,1.0087699398520078,1.0116090525270982,1.0137372516372367,1.0184877856483046,1.0206703079003494,1.0232407726173067,1.0272868632613836,1.0292877960207478,1.0309318672476726,1.0339052876775854,1.037930028030713,1.0395925737384346,1.0423291494449272,1.04317890430048
2023-05-22,,,,,,,,1.0,1.0027189170250894,1.0058280010329006,1.0086948294778726,1.0108598109142741,1.0150647129956822,1.0172331229656404,1.019650238708888,1.0233732929142898,1.025375862728477,1.0271215431377145,1.02990186490291,1.033556916624031,1.035175210015168,1.0379414273023306,1.0389224846875722
2023-05-26,,,,,,,,,1.0,1.0030552953409568,1.005928698767447,1.008145105123312,1.0118759807315016,1.0140389719509002,1.0163224075026231,1.0197568521945302,1.0217581130449593,1.023585576934881,1.026198143864795,1.0295247652695751,1.031093528215639,1.0338842337904235,1.0349934375971295
2023-05-30,,,,,,,,,,1.0,1.0028992844203544,1.0051646493657946,1.0082812775229058,1.0104313974612291,1.012542407294242,1.0156107557967227,1.0176134806887587,1.019553810330359,1.0219493786934446,1.0248574878442513,1.026372895863328,1.0291974112934072,1.0304599655773066
