,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0002778792212492,1.0005152679114055,1.0009491031639925,1.001604838717802,1.0024363274494303,1.0029686863642722,1.0032806090869726,1.0036237070682246,1.0042909627539722,1.0045416517487349,1.0056176106456842,1.0058513653165126,1.0063566348144977,1.0065003710162013,1.0052767897016863,1.00651302462613,1.0077214180023915,1.0082371359461777,1.0085739679918804,1.00925037304857,1.0096490057062253,1.0101865439534112
2023-04-28,,1.0,1.0002373227430972,1.0006710374753722,1.0013265908645164,1.0021578486068907,1.0026900596313473,1.0030018957012834,1.0033448983692212,1.0040119686899878,1.0042625880428397,1.0053382480362278,1.0055719377695351,1.00607706690263,1.0062207631741256,1.0049975217729785,1.006233413268856,1.0074414709509893,1.0079570456272862,1.008293784100364,1.0089700012503588,1.009368523167054,1.009905912085026
2023-05-02,,,1.0,1.0004336118263268,1.0010890096746559,1.0019200701874695,1.002452154936114,1.0027639170178178,1.0031068383027357,1.0037737503501056,1.0040243102393975,1.0050997150147742,1.0053333493013517,1.0058383585842585,1.0059820207614518,1.0047590695944306,1.0059946678547393,1.007202438905334,1.0077178912530658,1.008054549829407,1.0087306065357695,1.0091290338965906,1.00966629531021
2023-05-06,,,,1.0,1.000655113783245,1.0014858140945795,1.0020176682249833,1.0023292951815532,1.0026720678361942,1.0033386908279514,1.0035891421186016,1.0046640807878588,1.0048976138117554,1.0054024042115748,1.005546004122149,1.004323583011378,1.005558645733884,1.0067658933076533,1.007281122246024,1.0076176349064958,1.008293398593732,1.008691653266617,1.0092286818183054
2023-05-10,,,,,1.0,1.0008301564643927,1.0013616623979333,1.0016730853370435,1.0020156335836068,1.0026818201473637,1.0029321074713382,1.0040063423944907,1.0042397225278452,1.0047441824490173,1.0048876883468996,1.0036660675367592,1.0049003216823627,1.0061067788893867,1.0066216705151565,1.0069579628658742,1.0076332841408349,1.0080312780824032,1.0085679550496132
2023-05-14,,,,,,1.0,1.000531065066443,1.000842229690229,1.0011844938040257,1.0018501277874283,1.0021002075061078,1.0031735513859001,1.003406737937931,1.0039107794258035,1.0040541662901536,1.0028335587752322,1.0040667891466706,1.0052722456361973,1.005786710175904,1.0061227235829195,1.0067974847005765,1.0071951485189554,1.007731380329861
2023-05-18,,,,,,,1.0,1.0003109994628359,1.0006530819085957,1.0013183625846718,1.0015683095652415,1.0026410837321496,1.0028741465126794,1.0033779204638051,1.0035212312208184,1.0023012715838429,1.0035338473773354,1.004738664030826,1.005252855501405,1.0055886905581541,1.0062630935239552,1.0066605462690656,1.0071964934571422
2023-05-22,,,,,,,,1.0,1.0003419760913792,1.001007049929849,1.0012569192012093,1.002329359839655,1.0025623501603202,1.003065967486728,1.0032092336880296,1.001989653339887,1.0032218459221487,1.0044262879948016,1.004940319601827,1.0052760502465259,1.0059502435385752,1.0063475727145252,1.0068833532751353
2023-05-26,,,,,,,,,1.0,1.0006648464768702,1.0009146303281256,1.0019867043428898,1.0022196150136742,1.002723060173874,1.0028662773983088,1.0016471139749086,1.00287888532082,1.004082915643889,1.0045967715244888,1.0049323873965834,1.0056063502094645,1.0060035435547867,1.0065391409538917
2023-05-30,,,,,,,,,,1.0,1.0002496178936782,1.001320979617375,1.0015537355412036,1.0020568462100476,1.0021999682802785,1.0009816148748474,1.0022125678260259,1.0034157981856295,1.0039293126579416,1.0042647055452567,1.0049382205740438,1.0053351500222207,1.00587039156787
2023-06-03,,,,,,,,,,,1.0,1.001071094359379,1.001303792197663,1.0018067773124222,1.001949863665739,1.0007318143072232,1.0019624600671992,1.0031653901539284,1.0036787764758281,1.00401408566397,1.0046874326133097,1.0050842630055203,1.0056193709786443
2023-06-07,,,,,,,,,,,,1.0,1.0002324488636176,1.0007348958102862,1.0008778290685962,0.9996610829599741,1.0008904119925575,1.0020920550062329,1.0026048920312878,1.002939842455919,1.0036124689588057,1.0040088747629952,1.0045434101982298
2023-06-11,,,,,,,,,,,,,1.0,1.000502330180589,1.0006452302219468,0.9994287668788465,1.0006578102217014,1.0018591739797365,1.0023718918241111,1.0027067644079908,1.0033792345959465,1.003775548277471,1.0043099594894265
2023-06-15,,,,,,,,,,,,,,1.0,1.000142828294395,0.9989269757107424,1.0001554019780088,1.0013561625577647,1.0018686229778042,1.0022033274295363,1.0028754599850238,1.0032715746861791,1.0038057175820372
2023-06-19,,,,,,,,,,,,,,,1.0,0.9987843210496986,1.0000125718879926,1.001213160989655,1.0017255482262992,1.0020602048795924,1.002732241449243,1.0031282995820905,1.003662366198125
2023-06-23,,,,,,,,,,,,,,,,1.0,1.0012297458143946,1.0024317962234366,1.002944807116625,1.0032798711001498,1.0039527256449072,1.004349265843327,1.004883982503149
2023-06-27,,,,,,,,,,,,,,,,,1.0,1.0012005740081804,1.0017129548032309,1.0020476072493107,1.0027196353702992,1.003115688524011,1.003649748425904
2023-07-01,,,,,,,,,,,,,,,,,,1.0,1.0005117663816343,1.000846017534468,1.0015172398034464,1.0019128180362138,1.0024462375285288
2023-07-05,,,,,,,,,,,,,,,,,,,1.0,1.000334080181828,1.001004959117521,1.0014003350101983,1.0019334816559835
2023-07-09,,,,,,,,,,,,,,,,,,,,1.0,1.0006706548831876,1.0010658987327279,1.0015988673242693
2023-07-13,,,,,,,,,,,,,,,,,,,,,1.0,1.0003949789549753,1.000927590348085
2023-07-17,,,,,,,,,,,,,,,,,,,,,,1.0,1.0005324011058774
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,1.0
