,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.000531647190878,1.0009164692748191,1.0013665493964694,1.0020809512645557,1.0033393313681158,1.0038943604105772,1.0041952511469534,1.0047977808627713,1.0053612780377736,1.0058278444109747,1.0065317097318063,1.0068542530487596,1.0073075013768393,1.0074158322901998,1.0080005870154485,1.0087964222446424,1.0095531219066545,1.0100218197636863,1.0103544036734557,1.0109590881305264,1.0113818025293508,1.0117829729035877
2023-04-28,,1.0,1.000394254328457,1.0008451502977458,1.0015629976052283,1.0028486079796342,1.0034048154370947,1.0037048201329637,1.0043239845320695,1.0048803887293714,1.00536081571955,1.0060399669951703,1.0063681401445084,1.0068177387273676,1.0069236950314853,1.0076263908890457,1.0083930165623038,1.0091197828167207,1.0095851509716274,1.009917275087382,1.0105169424499536,1.0109409995409602,1.01133303624624
2023-05-02,,,1.0,1.0004514166869376,1.001171519139295,1.002475160069392,1.0030321241223268,1.003331526022293,1.003961712499084,1.0045133782482887,1.0050029908321685,1.0056656916745803,1.0059975895999431,1.0064447422523055,1.0065491159544935,1.007330135316975,1.0080773234867577,1.008784172072379,1.0092473064261265,1.0095791094066773,1.0101754159864074,1.0106003449709242,1.0109862957280773
2023-05-06,,,,1.0,1.0007199587904672,1.0020243357536105,1.0025811180601967,1.0028803505378399,1.003511055200789,1.0040621507565164,1.0045522098559971,1.0052134620057653,1.005545485123414,1.0059922747134846,1.0060964915361303,1.0068827665933453,1.0076282761794706,1.0083334232480705,1.0087962041523013,1.0091278440565732,1.009723662596115,1.010148473461532,1.0105338305774856
2023-05-10,,,,,1.0,1.0013049702612373,1.0018614322976942,1.0021604098630488,1.002791587984821,1.0033419160301245,1.0038323935112348,1.0044918428255227,1.004823944906023,1.0052702267382208,1.0053742416959348,1.0061664353903716,1.0069098687193676,1.007612918288449,1.0080751999696391,1.008406585866526,1.0090017243112313,1.0094263143436188,1.0098109108549385
2023-05-14,,,,,,1.0,1.0005577536173353,1.000855314250454,1.0015092169918565,1.0020493468921667,1.0025587805914449,1.0031834809484819,1.0035232010687911,1.0039641338560017,1.00406478405387,1.005020407030085,1.0057228305497068,1.0063838773351417,1.006841247440181,1.007171788600093,1.0077595920438513,1.0081857830461782,1.0085574535427104
2023-05-18,,,,,,,1.0,1.0002973856306712,1.0009511394992827,1.0014908824190583,1.0020002110540835,1.0026242572064061,1.0029638622468504,1.0034045060397148,1.003505070534419,1.0044616793258867,1.0051633748181987,1.0058236989775209,1.0062807768905275,1.0066111302910228,1.0071985510293242,1.007624523644205,1.0079958774189723
2023-05-22,,,,,,,,1.0,1.0006543224833286,1.0011935981619204,1.0017034100523423,1.0023261746250491,1.002665939829372,1.0031062983500796,1.0032067282992574,1.004168387504203,1.004868591200631,1.0055273981677306,1.0059842016073652,1.0063144435412368,1.006901479460638,1.007327394976179,1.0076982377493524
2023-05-26,,,,,,,,,1.0,1.0005310610268663,1.0010567553953764,1.0016510360132789,1.001997238387225,1.0024333521605695,1.0025310404783836,1.003628227935352,1.0042947903219577,1.0049191216768458,1.005372048006843,1.005701725304136,1.006282931727,1.0067103442109808,1.0070706467594395
2023-05-30,,,,,,,,,,1.0,1.00051673317378,1.0011257303862315,1.0014681842539894,1.0019061832498086,1.0020052515050761,1.0030289979751816,1.0037130139232708,1.004355269183161,1.0048098721194898,1.0051395601405022,1.0057233785297393,1.0061496112078634,1.006515239563962
2023-06-03,,,,,,,,,,,1.0,1.0005824699104848,1.0009309602936078,1.0013650362235396,1.001461554702017,1.0026118579883243,1.0032645394787019,1.003874678460398,1.0043257027597405,1.0046548924441512,1.0052333214024651,1.0056609879361107,1.0060168121564228
2023-06-07,,,,,,,,,,,,1.0,1.000336420101,1.0007772745173995,1.000878497870291,1.0017857019112049,1.0024971527180853,1.003167597002845,1.003624720838715,1.0039543290213413,1.004542111755534,1.0049663515365062,1.0053403036998325
2023-06-11,,,,,,,,,,,,,1.0,1.0004389212289286,1.000538902191374,1.0015073212608008,1.0022035500726687,1.002858395517987,1.0033137520117528,1.0036430938009429,1.0042282228797004,1.004653124527283,1.005022301491935
2023-06-15,,,,,,,,,,,,,,1.0,1.0001005722682108,1.0010362349931987,1.0017400680633854,1.002402732455102,1.0028587395506579,1.0031880186274913,1.0037741872086372,1.0041984784670428,1.0045699422267953
2023-06-19,,,,,,,,,,,,,,,1.0,1.0009443152263438,1.0016459510761884,1.0023063660334848,1.0027620983182988,1.0030913223402917,1.0036770836158033,1.004101446697523,1.0044722127778196
2023-06-23,,,,,,,,,,,,,,,,1.0,1.0003854656599431,1.0007216802264902,1.0011425463061931,1.0014677896282795,1.0020007016813632,1.0024410294557669,1.002713398098449
2023-06-27,,,,,,,,,,,,,,,,,1.0,1.0004250378928923,1.0008551748955257,1.0011812739835328,1.00172831791258,1.0021639383858556,1.0024631373860065
2023-07-01,,,,,,,,,,,,,,,,,,1.0,1.000439123493733,1.000766013260299,1.0013267700089998,1.001757738865997,1.0020830735448452
