,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23,2023-06-27,2023-07-01,2023-07-05,2023-07-09,2023-07-13,2023-07-17,2023-07-21
2023-04-24,1.0,1.0087277714623135,1.016564256577568,1.0229433529645482,1.0259350198968116,1.0328294726932359,1.0375908680496955,1.0395652353456328,1.0437071219354832,1.0466075636460643,1.0500221010615098,1.0539090929871775,1.0614194644598256,1.0672355332666519,1.070444043918995,1.0815518680469711,1.085036085703266,1.0920297562805894,1.0950547011119203,1.0961792760459848,1.0976038408097795,1.097164476902714,1.0976675487732066
2023-04-28,0,0.9999999999999998,1.007796299049591,1.0140582381597614,1.0170818926531868,1.0238677598823818,1.0286478611696603,1.0310732809993004,1.035141959597917,1.0383241617565233,1.0417236071663256,1.045596700094518,1.0524942289570456,1.0579311127034736,1.061151390772001,1.071407580007395,1.074866865944159,1.0813390114734038,1.0842986340787941,1.085467984134576,1.086912959762888,1.0866348734058,1.0871793912971908
2023-05-02,0,0,1.0,1.006157468950792,1.009208676099688,1.0158911316810544,1.0206875153563917,1.0235144984956372,1.0275138570880973,1.0309484638987332,1.0343309876342999,1.0381977163198768,1.0445484233679911,1.0496487170988282,1.0528800453008096,1.0623480515282777,1.0657924310124716,1.0718079039664465,1.0747101543703617,1.075919417652114,1.077383764850714,1.0772488185142743,1.0778325311148642
2023-05-06,0,0,0,1.0000000000000002,1.003070835863347,1.0096591139427535,1.01446740953901,1.0176076947432124,1.0215446505160997,1.0251792673237918,1.0285415818376116,1.032415312337009,1.0383368381477642,1.0431764137307247,1.046417468526322,1.0552109679298518,1.058658112496359,1.0643323768663404,1.0671913802878452,1.0684318644530493,1.069913676246218,1.0698895225691492,1.0705083468103163
2023-05-10,0,0,0,0,1.0,1.0065420398355764,1.011356343269068,1.014653342051514,1.018559620491769,1.0222940825244349,1.0256467408027654,1.0295231974262609,1.035230208070117,1.0399392475722598,1.0431850951143364,1.0516450395274402,1.0550926384889563,1.0605952522357627,1.0634325246621479,1.0646886203048043,1.0661790162675076,1.0662103392692481,1.0668464345645907
2023-05-14,0,0,0,0,0,1.0,1.0048287282324293,1.0084531863060984,1.0123172052068812,1.0162520559267318,1.0196029645873714,1.0234531685771064,1.0287182023125556,1.033149107651918,1.0364018921600395,1.0443214936092156,1.047731844817279,1.0528353712992182,1.0556230712624441,1.0569115434964997,1.0584136163921078,1.0585632861004253,1.0592234985877869
2023-05-18,0,0,0,0,0,0,1.0,1.0038676050325048,1.0076826506902428,1.0117729261344723,1.015107696513617,1.0189641027161729,1.0238958842684849,1.0281245691380207,1.0313849725600512,1.0387770946632864,1.0421905579285584,1.0470302638928517,1.049784499401938,1.0510972088580275,1.0526129954139085,1.0528485966966201,1.053536365675279
2023-05-22,0,0,0,0,0,0,0,1.0,1.003774343154748,1.0079953892787668,1.0113170419803799,1.0151778169877381,1.0198288774243456,1.0238869714914778,1.0271537081074633,1.034105399589807,1.0375204635660769,1.0421367258781415,1.04486264003299,1.0461957686378038,1.0477229443477236,1.048031036529771,1.0487417117520614
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.0043397981381617,1.0076646610760709,1.011502107791966,1.015888309529804,1.0197775459490535,1.0230477062571106,1.0297099578550934,1.033093720321922,1.0374601053002006,1.040155158055649,1.041507725875105,1.0430404804719928,1.0434204427895803,1.0441428838595952
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,1.0033001536891233,1.0071593130096659,1.0112189931667535,1.014914597339065,1.0181936662276356,1.0242671268354886,1.0276726527477238,1.031802820494799,1.0344674389532824,1.0358436507737292,1.0373927859046201,1.037854959212449,1.0386100167294892
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0,1.0038373827190137,1.0076586308342135,1.0112020045187786,1.014484053436778,1.0203000919245389,1.0236765850665002,1.0275807816752844,1.0302174885947752,1.0316111910873715,1.033165206108587,1.033692160965725,1.0344575588010594
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0035245378628648,1.0069024229319694,1.0101958535330786,1.015309735486061,1.018749387236412,1.022490759278773,1.025105235099953,1.0265201335112535,1.0280958215339504,1.028692806512856,1.0295008510457466
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0032283715695898,1.0065261469109468,1.0113166766238355,1.014743684038527,1.018276925429713,1.0208653775241763,1.0222978508269596,1.0238810947802337,1.024541675817285,1.0253651385551679
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0033033161741416,1.0077212499360466,1.0111584360067498,1.014530833688692,1.0170986631904977,1.0185467526873284,1.0201401406805861,1.0208554081824819,1.021699139773226
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0040785351218855,1.0075158689071846,1.0107125932520673,1.0132581888488386,1.0147222212775673,1.0163243257512227,1.0170962791327867,1.017957554225235
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999998,1.0031189764560609,1.005795483279295,1.0082803303191386,1.0097571292336232,1.0113149212366837,1.0121650568498026,1.0129453033098594
2023-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.002619186174189,1.0050950984928722,1.0065868032648573,1.0081673814331293,1.0090615603880413,1.0098855623229863
2023-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0024701702258316,1.0039738798144415,1.0055750457135355,1.006503685896479,1.0073673162666619
2023-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.001514020658522,1.0031223386502157,1.0040867962027948,1.0049646496379026
2023-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0016114254117434,1.0025983897746122,1.0034825417622408
2023-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0010095954814848,1.0019061326357814
2023-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0008998043997461
2023-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002
