,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,0.9999999999999998,0.9997641000202819,0.9996088035152914,0.999591309193888,0.999526871876502,0.9990594903474058,0.9990335990921162,0.9990500068080704,0.9987363291632736,0.9988717678328334,0.998606004613418,0.9990989015833146,0.9989972484545887,0.9990650946987586,0.9991078097339677,0.9970412808556779
2023-04-28,0,1.0,0.9998446668519229,0.9998271684026356,0.9997627158809013,0.9992952240704964,0.9992693267060191,0.9992857382934665,0.9989719866346595,0.9991074572617376,0.9988416313339911,0.9993346446057085,0.9992329674913536,0.9993008297442274,0.9993435548582901,0.9972765383708528
2023-05-02,0,0,1.0,0.9999824988322011,0.9999180362972984,0.9994504718586374,0.9994245704708158,0.9994409846079229,0.9991271842055116,0.9992626758789378,0.9989968086531982,0.9994898985181168,0.9993882056074818,0.9994560784032508,0.9994988101549707,0.997431472541474
2023-05-06,0,0,0,1.0000000000000002,0.9999355363369079,0.9994679637151801,0.999442061874046,0.9994584762984247,0.9991446704040438,0.9992801644487739,0.9990142925699659,0.999507391064684,0.9994056963742732,0.999473570357916,0.9995163028575047,0.9974489290625522
2023-05-10,0,0,0,0,1.0,0.999532397234885,0.999506493723916,0.9995229092064966,0.9992090830817341,0.99934458586147,0.9990786968424819,0.9995718271261843,0.9994701258797386,0.9995380042390691,0.9995807394935289,0.9975132324194969
2023-05-14,0,0,0,0,0,1.0,0.9999740843708108,0.9999905075329075,0.9996765345935307,0.9998121007643826,0.9995460873567895,1.0000394483374508,0.9999376995129736,1.0000056096272611,1.0000483648741927,0.9979798905758595
2023-05-18,0,0,0,0,0,0,1.0,1.0000164235877242,0.9997024425113301,0.999838012195556,0.9995719918938792,1.0000653656606322,0.9999636141992018,1.0000315260734685,1.0000742824284579,0.9980057545229221
2023-05-22,0,0,0,0,0,0,0,1.0,0.9996860240802169,0.9998215915379386,0.9995555756051981,1.0000489412691167,0.9999471914787829,1.0000151022377113,1.0000578578904995,0.9979893639570554
2023-05-26,0,0,0,0,0,0,0,0,1.0,1.0001356100360075,0.9998695105544375,1.0003630311719458,1.0002612494245942,1.0003291815125626,1.0003719505938122,0.9983028069991048
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,0.9997339365992972,1.0002273902995318,1.000125622352935,1.0001935452298794,1.000236308511999,0.9981674454758823
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0,1.0004935850251446,1.000391789994616,1.0004597309481615,1.0005025056110535,0.9984330919797086
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9998982551891864,0.9999661626246387,1.0000089161850132,0.9979405234813332
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.0000679143453848,1.000110672256155,0.9980420690828363
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000427550070918,0.997974292312063
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9979316257383275
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999998
