,2023-04-24,2023-04-28,2023-05-02,2023-05-06,2023-05-10,2023-05-14,2023-05-18,2023-05-22,2023-05-26,2023-05-30,2023-06-03,2023-06-07,2023-06-11,2023-06-15,2023-06-19,2023-06-23
2023-04-24,0.9999999999999998,1.0000177376454262,1.0000096413912467,1.0000081891578347,1.0000019966623677,0.9999594523799863,0.9999556413120171,0.9999607920340329,0.999904685533768,0.9999363076517894,0.9998845974058288,1.000007075210362,0.9999933022648937,1.0000090717733738,1.0000165471122138,0.9997427640594339
2023-04-28,0,0.9999999999999998,1.0000015368317916,1.0000011343951116,0.9999987534008303,0.9999840103162202,0.9999816440825678,0.9999860583653292,0.999946805613434,0.9999716351445128,0.9999339308353785,1.000032173092084,1.0000241507294547,1.0000365129173934,1.000041682393386,0.9998852109646681
2023-05-02,0,0,1.0,1.0000002956642893,1.0000004492506527,1.000004193518597,1.00000278804655,1.0000067126847687,0.9999786668353106,0.9999989798044343,0.9999705886492583,1.0000527162622894,1.0000485178517367,1.0000586144247712,1.0000622506131416,0.9999837877653349
2023-05-06,0,0,0,1.0000000000000002,1.0000003347136737,1.0000054003302505,1.00000406340648,1.000007953350924,0.9999807062135185,1.0000006979665157,0.9999729701741696,1.0000539524460557,1.0000500269712314,1.0000599624076296,1.000063489304009,0.9999905948825005
2023-05-10,0,0,0,0,1.0,1.0000065953488557,1.0000053377269733,1.0000091876491248,0.9999828641084609,1.0000024847415847,0.9999755238528295,1.0000551831892144,1.0000515735169513,1.0000613227794066,1.0000647232880082,0.9999982721160325
2023-05-14,0,0,0,0,0,1.0,1.0000007580645858,1.0000035809581007,1.0000007686913632,1.0000109146049925,1.0000034916460836,1.0000493468782097,1.000053760000458,1.0000587565110184,1.0000589402769944,1.0001561545859603
2023-05-18,0,0,0,0,0,0,1.0000000000000002,1.0000028137646195,1.0000002169416558,1.0000102769763917,1.0000030325202458,1.0000485823611112,1.0000530695611773,1.0000580229830638,1.0000581772516548,1.000156903503576
2023-05-22,0,0,0,0,0,0,0,1.0000000000000002,0.9999981656579638,1.0000079188473232,1.0000013077755812,1.0000457633012532,1.0000505109367877,1.0000553104331293,1.0000553603718916,1.0001593998607492
2023-05-26,0,0,0,0,0,0,0,0,0.9999999999999998,1.0000018953430967,1.0000114872197032,1.0000279067773579,1.0000393073283882,1.000040165141705,1.0000375474744185,1.0002773064012418
2023-05-30,0,0,0,0,0,0,0,0,0,1.0,1.0000009141674209,1.000032354309175,1.000040193053106,1.0000431624238477,1.0000419732549664,1.000209072543555
2023-06-03,0,0,0,0,0,0,0,0,0,0,1.0,1.000005242459507,1.0000192976713358,1.0000185838318303,1.0000149020298432,1.000308817122791
2023-06-07,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000021916881139,1.0000085087777573,1.0000095844060872,1.0000614856599461
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000045329257468,1.0000044010274274,1.0001177394905885
2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000005032090034,1.0000815399797058
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0000897758562823
2023-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999998
